model,model_key,layer,iteration_type,iteration,loss,js_divergence,total_variation_distance,negative_log_likelihood,target_support_probability,mode_coverage,entropy,grad_norm,step_time_s,epoch_time_s
MZI,MZI,1,step,128,0.4247215828373119,0.09852612609760457,0.25577954488574883,2.0893765299694658,0.7442204551142511,6.0,2.120513696773674,0.06821803316116859,0.018227338790893555,
MZI,MZI,1,step,129,0.4249829328358556,0.09870132257391764,0.25655152631455336,2.089693559641402,0.7434484736854468,6.0,2.12009089427209,0.07698961049127469,0.025369644165039062,
MZI,MZI,1,step,130,0.4245403226632192,0.09842875695138356,0.2560970662234691,2.0887114160044145,0.7439029337765308,6.0,2.1168610273483246,0.08166824180307312,0.026600360870361328,
MZI,MZI,1,step,131,0.4236762445144124,0.09788740915659958,0.2548844783477669,2.0869640762694965,0.745115521652233,6.0,2.1116994854857367,0.07380412551277937,0.020175695419311523,
MZI,MZI,1,step,132,0.4229851759560588,0.0974524160393651,0.2538425661256685,2.0856042107360686,0.7461574338743315,6.0,2.1074462936716367,0.06158601835196072,0.02070021629333496,
MZI,MZI,1,step,133,0.422639646874605,0.09723352139713162,0.25327150422130423,2.084950335109388,0.7467284957786957,6.0,2.1053962615269244,0.05436032244033231,0.02132701873779297,
MZI,MZI,1,step,134,0.4225261028532206,0.09716087469473175,0.253058177652475,2.084748795172434,0.7469418223475249,6.0,2.1059890686976264,0.05020675640215563,0.018654346466064453,
MZI,MZI,1,step,135,0.4224586079490859,0.09711918131094606,0.25298474066668497,2.0846012640320373,0.747015259333315,6.0,2.106945444852292,0.047357486864829754,0.02641153335571289,
MZI,MZI,1,step,136,0.42221131105727683,0.0969668811021971,0.2527322039630212,2.084052131712858,0.7472677960369788,6.0,2.105662341680662,0.04866869620258448,0.02239704132080078,
MZI,MZI,1,step,137,0.4217383913398409,0.09667414655018654,0.25219702758191453,2.083029289403725,0.7478029724180855,6.0,2.101705803333558,0.04931301588712008,0.025945186614990234,
MZI,MZI,1,step,138,0.42127031366245177,0.0963843786367843,0.2516674504117393,2.0820170833672034,0.7483325495882607,6.0,2.0969969365947194,0.04347433839329655,0.02512335777282715,
MZI,MZI,1,step,139,0.4209933151213908,0.09621349229658041,0.25137609370403896,2.08140678759739,0.748623906295961,6.0,2.0936459907813076,0.03540191202553398,0.02845597267150879,
MZI,MZI,1,step,140,0.42081054228304987,0.09610013719730398,0.2511623715926681,2.0810152433740834,0.7488376284073319,6.0,2.0916681292256665,0.034242478857172624,0.021952390670776367,
