model,model_key,layer,epoch,train_loss,test_loss,train_accuracy,test_accuracy,epoch_time_s
MZI,MZI,3,18,0.003695604981788035,0.00925915502011776,1.0,1.0,0.9514725208282471
MZI,MZI,3,19,0.003233122601107295,0.008444583043456078,1.0,1.0,0.9370992183685303
MZI,MZI,3,20,0.0029339528700802475,0.007605188060551882,1.0,1.0,0.9777042865753174
MZI,MZI,3,21,0.002665453778380262,0.006825921591371298,1.0,1.0,0.9519579410552979
MZI,MZI,3,22,0.002391987207478711,0.006220793351531029,1.0,1.0,1.0277087688446045
MZI,MZI,3,23,0.002233354058781905,0.0057830531150102615,1.0,1.0,0.9878420829772949
MZI,MZI,3,24,0.002129255248499768,0.005487820599228144,1.0,1.0,0.9041972160339355
MZI,MZI,3,25,0.002011403871334291,0.005156911443918943,1.0,1.0,0.8793759346008301
MZI,MZI,3,26,0.0017853182965024774,0.0050473446026444435,1.0,1.0,0.9106955528259277
MZI,MZI,3,27,0.0017787456886643278,0.004626684356480837,1.0,1.0,0.9346263408660889
MZI,MZI,3,28,0.0016006178796357875,0.004323598928749561,1.0,1.0,0.8744087219238281
MZI,MZI,3,29,0.001536873762961477,0.0042314413003623486,1.0,1.0,0.911771297454834
MZI,MZI,3,30,0.0015471319177387548,0.0042140912264585495,1.0,1.0,0.886629581451416
MZI,MZI,3,31,0.0014429104466606596,0.003748334711417556,1.0,1.0,0.9021646976470947
MZI,MZI,3,32,0.0012632131767791829,0.003710418241098523,1.0,1.0,0.9112329483032227
MZI,MZI,3,33,0.0011922276227518784,0.0037638945505023003,1.0,1.0,0.983055830001831
MZI,MZI,3,34,0.00122786601381709,0.003306052414700389,1.0,1.0,0.8208980560302734
MZI,MZI,3,35,0.001493664106653471,0.004037708975374699,1.0,1.0,0.7633748054504395
MZI,MZI,3,36,0.0011342644017921495,0.003394236322492361,1.0,1.0,0.7848749160766602
MZI,MZI,3,37,0.0009544114827544295,0.0033478254918009043,1.0,1.0,0.7820272445678711
MZI,MZI,3,38,0.0009094448278899239,0.0034296412486582994,1.0,1.0,0.8466401100158691
MZI,MZI,3,39,0.0008691264326833853,0.003025873564183712,1.0,1.0,0.747124195098877
MZI,MZI,3,40,0.0009102105300241549,0.002982945181429386,1.0,1.0,0.7816805839538574
MZI,MZI,3,41,0.0007954830613536095,0.003063237527385354,1.0,1.0,0.7349624633789062
MZI,MZI,3,42,0.0007465294504072518,0.002944136504083872,1.0,1.0,0.7362549304962158
MZI,MZI,3,43,0.0007273975499889015,0.0027379393577575684,1.0,1.0,0.751192569732666
MZI,MZI,3,44,0.0006727115429904578,0.002706676023080945,1.0,1.0,0.7584872245788574
MZI,MZI,3,45,0.0006770641235302069,0.0025499300099909306,1.0,1.0,0.7759864330291748
MZI,MZI,3,46,0.0006258462638860302,0.0024093969259411097,1.0,1.0,0.8450326919555664
MZI,MZI,3,47,0.0005953886801372781,0.002334257820621133,1.0,1.0,0.7774770259857178
MZI,MZI,3,48,0.0006115290984910513,0.002309564035385847,1.0,1.0,0.6965255737304688
MZI,MZI,3,49,0.0005594362171125665,0.0022710657212883234,1.0,1.0,0.7828140258789062
MZI,MZI,3,50,0.0005347175470628177,0.002236887812614441,1.0,1.0,0.7094409465789795
MZI,MZI,3,51,0.000550177411891387,0.00211820169351995,1.0,1.0,0.6868653297424316
MZI,MZI,3,52,0.0004889613155683037,0.0020874100737273693,1.0,1.0,0.727468729019165
MZI,MZI,3,53,0.0005314766344132035,0.0021242112852633,1.0,1.0,0.7128932476043701
MZI,MZI,3,54,0.0005001626240430466,0.0020125561859458685,1.0,1.0,0.7033426761627197
MZI,MZI,3,55,0.00048258470560540444,0.0020336820743978024,1.0,1.0,0.7011399269104004
MZI,MZI,3,56,0.00042642500255689293,0.0019193144980818033,1.0,1.0,0.7004542350769043
MZI,MZI,3,57,0.0004233231007154765,0.00194479466881603,1.0,1.0,0.7200000286102295
MZI,MZI,3,58,0.0004062420832009853,0.0019133036257699132,1.0,1.0,0.7141127586364746
MZI,MZI,3,59,0.00038407604172659507,0.001843654434196651,1.0,1.0,0.7496585845947266
MZI,MZI,3,60,0.0003959810779113988,0.0017904072301462293,1.0,1.0,0.700934886932373
MZI,MZI,3,61,0.0003593792287054904,0.0017413327004760504,1.0,1.0,0.7135331630706787
MZI,MZI,3,62,0.0003532534968274246,0.001791096874512732,1.0,1.0,0.7438349723815918
MZI,MZI,3,63,0.0003468953857269038,0.0017297978047281504,1.0,1.0,0.7011737823486328
MZI,MZI,3,64,0.000316252304712959,0.0016424028435721993,1.0,1.0,0.7026078701019287
MZI,MZI,3,65,0.00032602606346959615,0.0016244306461885571,1.0,1.0,0.6977999210357666
MZI,MZI,3,66,0.0002992283100736261,0.0015383691061288118,1.0,1.0,0.6946604251861572
MZI,MZI,3,67,0.00028844627714923784,0.0015137940645217896,1.0,1.0,0.7008039951324463
MZI,MZI,3,68,0.0002845292958227219,0.0014736693119630218,1.0,1.0,0.6865875720977783
MZI,MZI,3,69,0.0003102383611673888,0.0015955875860527158,1.0,1.0,0.7037513256072998
MZI,MZI,3,70,0.00026552512055267084,0.0015100702876225114,1.0,1.0,0.7102124691009521
MZI,MZI,3,71,0.0002493399701311968,0.0014323205687105656,1.0,1.0,0.6801581382751465
MZI,MZI,3,72,0.00025296801645059274,0.0014222103636711836,1.0,1.0,0.7499127388000488
MZI,MZI,3,73,0.00025017819365790014,0.0013788669602945447,1.0,1.0,0.6701912879943848
MZI,MZI,3,74,0.00022859386912646836,0.0013517456827685237,1.0,1.0,0.6677992343902588
MZI,MZI,3,75,0.0002321645804061388,0.0013181304093450308,1.0,1.0,0.6666882038116455
MZI,MZI,3,76,0.00021576925261927369,0.001298370654694736,1.0,1.0,0.6616175174713135
MZI,MZI,3,77,0.00021243836124215575,0.0012044183677062392,1.0,1.0,0.6570844650268555
MZI,MZI,3,78,0.00021148447837861437,0.0012036401312798262,1.0,1.0,0.6524522304534912
MZI,MZI,3,79,0.00020846479076551207,0.0011658701114356518,1.0,1.0,0.6397507190704346
MZI,MZI,3,80,0.0002036131163549726,0.0011582125443965197,1.0,1.0,0.6570663452148438
MZI,MZI,3,81,0.00019362828911003558,0.001132272183895111,1.0,1.0,0.6413326263427734
MZI,MZI,3,82,0.0001842790577159446,0.0011161562288179994,1.0,1.0,0.6152236461639404
MZI,MZI,3,83,0.00017834471075600178,0.0010895089944824576,1.0,1.0,0.6529338359832764
