model,model_key,layer,state,bitstring,target_probability,generated_probability,probability_error,absolute_error,is_target_pattern
Classical MLP,CLASSICAL,2,9,1001,0.0,6.543612738344002e-06,6.543612738344002e-06,6.543612738344002e-06,False
Classical MLP,CLASSICAL,2,10,1010,0.16666666666666666,0.16872051864000367,0.0020538519733370175,0.0020538519733370175,True
Classical MLP,CLASSICAL,2,11,1011,0.0,6.268558663385806e-06,6.268558663385806e-06,6.268558663385806e-06,False
Classical MLP,CLASSICAL,2,12,1100,0.16666666666666666,0.16515308316748603,-0.0015135834991806263,0.0015135834991806263,True
Classical MLP,CLASSICAL,2,13,1101,0.0,7.110008837388657e-06,7.110008837388657e-06,7.110008837388657e-06,False
Classical MLP,CLASSICAL,2,14,1110,0.0,6.959043043587392e-06,6.959043043587392e-06,6.959043043587392e-06,False
Classical MLP,CLASSICAL,2,15,1111,0.16666666666666666,0.16846232364332706,0.001795656976660398,0.001795656976660398,True
Classical MLP,CLASSICAL,3,0,0000,0.16666666666666666,0.16791500163291748,0.0012483349662508192,0.0012483349662508192,True
Classical MLP,CLASSICAL,3,1,0001,0.0,1.2181401349620822e-05,1.2181401349620822e-05,1.2181401349620822e-05,False
Classical MLP,CLASSICAL,3,2,0010,0.0,8.255575304587347e-06,8.255575304587347e-06,8.255575304587347e-06,False
Classical MLP,CLASSICAL,3,3,0011,0.16666666666666666,0.16665339705152685,-1.3269615139810398e-05,1.3269615139810398e-05,True
Classical MLP,CLASSICAL,3,4,0100,0.0,1.1379887340324384e-05,1.1379887340324384e-05,1.1379887340324384e-05,False
Classical MLP,CLASSICAL,3,5,0101,0.16666666666666666,0.1662902681994171,-0.0003763984672495446,0.0003763984672495446,True
Classical MLP,CLASSICAL,3,6,0110,0.0,7.78328658215278e-06,7.78328658215278e-06,7.78328658215278e-06,False
Classical MLP,CLASSICAL,3,7,0111,0.0,6.621310233541599e-06,6.621310233541599e-06,6.621310233541599e-06,False
Classical MLP,CLASSICAL,3,8,1000,0.0,8.466219103501989e-06,8.466219103501989e-06,8.466219103501989e-06,False
Classical MLP,CLASSICAL,3,9,1001,0.0,1.1571546427355762e-05,1.1571546427355762e-05,1.1571546427355762e-05,False
Classical MLP,CLASSICAL,3,10,1010,0.16666666666666666,0.16706948254435006,0.000402815877683399,0.000402815877683399,True
Classical MLP,CLASSICAL,3,11,1011,0.0,1.3546700680059237e-05,1.3546700680059237e-05,1.3546700680059237e-05,False
Classical MLP,CLASSICAL,3,12,1100,0.16666666666666666,0.16759685943889055,0.0009301927722238923,0.0009301927722238923,True
Classical MLP,CLASSICAL,3,13,1101,0.0,9.331765576255344e-06,9.331765576255344e-06,9.331765576255344e-06,False
Classical MLP,CLASSICAL,3,14,1110,0.0,9.942628076445879e-06,9.942628076445879e-06,9.942628076445879e-06,False
Classical MLP,CLASSICAL,3,15,1111,0.16666666666666666,0.164375910812224,-0.002290755854442661,0.002290755854442661,True
